,idx,lat,lon,distance,date
6012,24,39.16767120361328,144.64083862304688,341.0579833984375,2017-12-22 12:00:00
6013,24,39.19035720825195,144.65652465820312,343.9165954589844,2017-12-22 11:00:00
6014,24,39.21421432495117,144.668701171875,346.76617431640625,2017-12-22 10:00:00
6015,24,39.23881912231445,144.6768341064453,349.5873718261719,2017-12-22 09:00:00
6016,24,39.26392364501953,144.68104553222656,352.3990783691406,2017-12-22 08:00:00
6017,24,39.28923797607422,144.68148803710938,355.2107849121094,2017-12-22 07:00:00
6018,24,39.31412124633789,144.6780548095703,357.99017333984375,2017-12-22 06:00:00
6019,24,39.33819580078125,144.6708984375,360.7337646484375,2017-12-22 05:00:00
6020,24,39.361236572265625,144.6602783203125,363.4503479003906,2017-12-22 04:00:00
6021,24,39.38277053833008,144.64678955078125,366.10736083984375,2017-12-22 03:00:00
6022,24,39.40237045288086,144.6307373046875,368.6838073730469,2017-12-22 02:00:00
6023,24,39.41950607299805,144.6121826171875,371.16571044921875,2017-12-22 01:00:00
6024,24,39.43403244018555,144.5911865234375,373.58453369140625,2017-12-22 00:00:00
6025,25,39.96424865722656,144.81918334960938,0.0,2018-01-01 00:00:00
6026,25,39.96181106567383,144.80618286132812,1.1386730670928955,2017-12-31 23:00:00
6027,25,39.95930480957031,144.7935333251953,2.250274419784546,2017-12-31 22:00:00
6028,25,39.95689010620117,144.78118896484375,3.3342385292053223,2017-12-31 21:00:00
6029,25,39.95461654663086,144.7691650390625,4.387980937957764,2017-12-31 20:00:00
6030,25,39.952518463134766,144.75738525390625,5.417019844055176,2017-12-31 19:00:00
6031,25,39.95063400268555,144.74588012695312,6.4181227684021,2017-12-31 18:00:00
6032,25,39.948978424072266,144.7345733642578,7.397672653198242,2017-12-31 17:00:00
6033,25,39.94758224487305,144.7234344482422,8.358162879943848,2017-12-31 16:00:00
6034,25,39.94644546508789,144.7124481201172,9.301567077636719,2017-12-31 15:00:00
6035,25,39.94552993774414,144.7014617919922,10.242016792297363,2017-12-31 14:00:00
6036,25,39.94480514526367,144.6905975341797,11.170066833496094,2017-12-31 13:00:00
6037,25,39.94424057006836,144.67979431152344,12.091567993164062,2017-12-31 12:00:00
